election_id;state_id
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;2
9;2
10;2
11;2
12;3
13;3
14;3
15;3
16;3
17;3
18;3
19;3
20;4
21;4
22;4
23;4
24;5
25;5
26;5
27;5
28;5
29;5
30;5
31;6
32;6
33;6
34;6
35;6
36;6
37;6
38;6
39;7
40;7
41;7
42;7
43;7
44;8
45;8
46;8
47;8
48;8
49;8
50;8
51;9
52;9
53;9
54;9
55;9
56;10
57;10
58;10
59;10
60;10
61;11
62;11
63;12
64;12
65;12
66;13
67;13
68;13
69;13
70;13
71;14
72;14
73;14
74;14
75;14
76;14
77;14
78;14
79;14
80;15
81;15
82;15
83;15
84;15
85;16
86;16
87;16
88;16
89;16
90;16
91;16
92;16
93;16
94;16
95;16
96;17
97;17
98;17
99;17
100;17
101;17
102;17
103;18
104;18
105;18
106;18
107;18
108;18
109;18
110;18
111;18
112;19
113;19
114;19
115;19
116;19
117;19
118;19
119;20
120;20
121;20
122;20
123;21
124;21
125;22
126;22
127;22
128;22
129;22
130;22
131;22
132;22
133;22
134;23
135;23
136;23
137;23
138;23
139;23
140;23
141;23
142;24
143;24
144;24
145;24
146;24
147;24
148;24
149;24
150;24
151;24
152;24
153;24
154;25
155;25
156;25
157;25
158;25
159;25
160;25
161;26
162;26
163;26
164;26
165;27
166;27
167;27
168;28
169;28
170;28
171;28
172;28
173;29
174;29
175;29
176;29
177;29
178;30
179;30
180;30
181;30
182;30
183;30
184;30
185;30
186;31
187;31
188;31
189;31
190;31
191;31
192;31
193;31
194;31
195;31
196;31
197;31
198;32
199;32
200;32
201;32
202;32
203;32
204;33
205;33
206;33
207;33
208;33
209;33
210;33
211;33
212;33
213;34
214;34
215;34
216;34
217;34
218;35
219;35
220;35
221;35
222;35
223;35
224;35
225;35
226;35
227;35
228;35
229;36
230;36
231;36
232;36
233;36
234;36
235;36
236;36
237;36
238;36
239;37
240;37
241;37
242;38
243;38
244;38
245;38
246;38
247;39
248;39
249;39
250;39
251;39
252;39
253;39
254;39
255;40
256;40
257;40
258;40
259;40
260;40
261;41
262;41
263;41
264;41
265;41
266;42
267;42
268;42
269;42
270;42
271;43
272;43
273;43
274;43
275;43
276;43
277;43
278;43
279;43
280;43
281;43
282;44
283;44
284;44
285;44
286;44
287;44
288;45
289;45
290;45
291;45
292;45
293;45
294;45
295;45
296;46
297;46
298;46
299;46
300;46
301;46
302;47
303;47
304;47
305;47
306;47
307;47
308;48
309;48
310;48
311;48
312;48
313;48
314;48
315;48
316;48
317;48
318;48
319;49
320;49
321;50
322;50
323;50
324;50
325;50
326;50
327;50
328;50
329;50
330;51
331;51
332;51
333;1
334;1
335;1
336;1
337;1
338;1
339;1
340;1
341;1
342;1
343;2
344;2
345;2
346;2
347;2
348;3
349;3
350;3
351;3
352;3
353;3
354;3
355;3
356;4
357;4
358;4
359;4
360;4
361;4
362;4
363;5
364;5
365;5
366;5
367;5
368;5
369;5
370;6
371;6
372;6
373;6
374;6
375;6
376;6
377;6
378;7
379;7
380;7
381;7
382;7
383;7
384;8
385;8
386;8
387;8
388;8
389;9
390;9
391;9
392;9
393;9
394;9
395;9
396;9
397;9
398;10
399;10
400;10
401;10
402;10
403;11
404;11
405;11
406;11
407;12
408;12
409;12
410;12
411;12
412;12
413;13
414;13
415;13
416;13
417;13
418;14
419;14
420;14
421;14
422;14
423;14
424;14
425;14
426;14
427;15
428;15
429;15
430;15
431;15
432;15
433;15
434;15
435;16
436;16
437;16
438;16
439;16
440;16
441;16
442;16
443;16
444;16
445;16
446;17
447;17
448;17
449;17
450;17
451;17
452;17
453;17
454;18
455;18
456;18
457;18
458;18
459;18
460;18
461;18
462;19
463;19
464;19
465;19
466;19
467;19
468;19
469;20
470;20
471;20
472;20
473;20
474;20
475;20
476;21
477;21
478;21
479;21
480;22
481;22
482;22
483;22
484;22
485;22
486;22
487;23
488;23
489;23
490;23
491;23
492;23
493;23
494;24
495;24
496;24
497;24
498;24
499;24
500;24
501;24
502;24
503;24
504;24
505;25
506;25
507;25
508;25
509;25
510;25
511;26
512;26
513;26
514;26
515;26
516;26
517;27
518;27
519;27
520;27
521;28
522;28
523;28
524;28
525;29
526;29
527;29
528;29
529;30
530;30
531;30
532;30
533;30
534;30
535;30
536;30
537;30
538;31
539;31
540;31
541;31
542;31
543;31
544;31
545;31
546;31
547;31
548;31
549;31
550;31
551;32
552;32
553;32
554;32
555;32
556;32
557;32
558;33
559;33
560;33
561;33
562;33
563;33
564;33
565;33
566;33
567;33
568;33
569;34
570;34
571;34
572;34
573;34
574;34
575;35
576;35
577;35
578;35
579;35
580;35
581;35
582;35
583;35
584;35
585;36
586;36
587;36
588;36
589;36
590;36
591;36
592;36
593;36
594;37
595;37
596;37
597;37
598;38
599;38
600;38
601;38
